zipcode,year,month,crime_rate
02119,2016,1,0.0205
02119,2016,2,0.0181
02119,2016,3,0.0213
02119,2016,4,0.0209
02119,2016,5,0.0223
02119,2016,6,0.022
02119,2016,7,0.0224
02119,2016,8,0.0214
02119,2016,9,0.0221
02119,2016,10,0.021
02119,2016,11,0.0196
02119,2016,12,0.0213
02119,2017,1,0.0219
02119,2017,2,0.0172
02119,2017,3,0.0239
02119,2017,4,0.022
02119,2017,5,0.0234
02119,2017,6,0.0256
02119,2017,7,0.0246
02119,2017,8,0.023
02119,2017,9,0.023
02119,2017,10,0.0244
02119,2017,11,0.0227
02119,2017,12,0.0211
02119,2018,1,0.02
02119,2018,2,0.0177
02119,2018,3,0.0216
02119,2018,4,0.0238
02119,2018,5,0.0214
02119,2018,6,0.0245
02119,2018,7,0.0228
02119,2018,8,0.024
02119,2018,9,0.0244
02119,2018,10,0.0023
02120,2015,6,0.0069
02120,2015,7,0.0098
02120,2015,8,0.0111
02120,2015,9,0.0166
02120,2015,10,0.0133
02120,2015,11,0.0106
02120,2015,12,0.0118
02120,2016,1,0.011
02120,2016,2,0.0105
02120,2016,3,0.0134
02120,2016,4,0.0134
02120,2016,5,0.0129
02120,2016,6,0.0114
02120,2016,7,0.0107
02120,2016,8,0.0106
02120,2016,9,0.0125
02120,2016,10,0.0138
02120,2016,11,0.0106
02120,2016,12,0.0108
02120,2017,1,0.0111
02120,2017,2,0.0109
02120,2017,3,0.0125
02120,2017,4,0.0109
02120,2017,5,0.0127
02120,2017,6,0.0129
02120,2017,7,0.0117
02120,2017,8,0.0115
02120,2017,9,0.0143
02120,2017,10,0.0104
02120,2017,11,0.0091
02120,2017,12,0.0085
02120,2018,1,0.0106
02120,2018,2,0.0089
02120,2018,3,0.0112
02120,2018,4,0.01
02120,2018,5,0.0114
02120,2018,6,0.008
02120,2018,7,0.0095
02120,2018,8,0.0102
02120,2018,9,0.009
02120,2018,10,0.001
02121,2015,6,0.0101
02121,2015,7,0.0216
02121,2015,8,0.0201
02121,2015,9,0.0199
02121,2015,10,0.0193
02121,2015,11,0.0195
02121,2015,12,0.0192
02121,2016,1,0.0211
02121,2016,2,0.0167
02121,2016,3,0.0179
02121,2016,4,0.02
02121,2016,5,0.021
02121,2016,6,0.0197
02121,2016,7,0.0191
02121,2016,8,0.0207
02121,2016,9,0.0186
02121,2016,10,0.0182
02121,2016,11,0.0188
02121,2016,12,0.0196
02121,2017,1,0.018
02121,2017,2,0.0159
02121,2017,3,0.0194
02121,2017,4,0.0206
02121,2017,5,0.0217
02121,2017,6,0.0211
02121,2017,7,0.0194
02121,2017,8,0.021
02121,2017,9,0.0185
02121,2017,10,0.0191
02121,2017,11,0.0171
02121,2017,12,0.018
02121,2018,1,0.0196
02121,2018,2,0.0153
02121,2018,3,0.0181
02121,2018,4,0.0186
02121,2018,5,0.0207
02121,2018,6,0.0217
02121,2018,7,0.0193
02121,2018,8,0.0193
02121,2018,9,0.0179
02121,2018,10,0.0019
02122,2015,6,0.0116
02122,2015,7,0.0239
02122,2015,8,0.0221
02122,2015,9,0.0218
02122,2015,10,0.0196
02122,2015,11,0.0183
02122,2015,12,0.0224
02122,2016,1,0.0228
02122,2016,2,0.0191
02122,2016,3,0.0252
02122,2016,4,0.022
02122,2016,5,0.025
02122,2016,6,0.0221
02122,2016,7,0.0252
02122,2016,8,0.0244
02122,2016,9,0.0236
02122,2016,10,0.0201
02122,2016,11,0.0198
02122,2016,12,0.0235
02122,2017,1,0.024
02122,2017,2,0.0218
02122,2017,3,0.0205
02122,2017,4,0.0226
02122,2017,5,0.0251
02122,2017,6,0.0248
02122,2017,7,0.0228
02122,2017,8,0.0233
02122,2017,9,0.0234
02122,2017,10,0.0222
02122,2017,11,0.0201
02122,2017,12,0.0209
02122,2018,1,0.0172
02122,2018,2,0.0169
