quarter,quarter_cnt,UCR_PART,Zip
2017Q2,73,"Part One",2117
2017Q2,16,"Part One",2152
2017Q2,9,"Part One",2026
2017Q2,13,"Part One",2435
2017Q2,5,"Part One",2205
2017Q2,2,"Part One",2145
2017Q2,1,"Part One",2446
2017Q3,214,"Part One",2126
2017Q3,106,"Part One",1210
2017Q3,157,"Part One",2125
2017Q3,138,"Part One",2120
2017Q3,156,"Part One",2131
2017Q3,91,"Part One",2117
2017Q3,239,"Part One",2119
2017Q3,315,"Part One",2121
2017Q3,95,"Part One",2129
2017Q3,57,"Part One",2137
2017Q3,148,"Part One",2134
2017Q3,112,"Part One",2135
2017Q3,8,"Part One",2151
2017Q3,360,"Part One",2118
2017Q3,187,"Part One",2122
2017Q3,120,"Part One",1125
2017Q3,34,"Part One",2201
2017Q3,60,"Part One",2132
2017Q3,190,"Part One",2116
2017Q3,146,"Part One",2115
2017Q3,188,"Part One",2199
2017Q3,169,"Part One",2110
2017Q3,166,"Part One",2127
2017Q3,84,"Part One",2150
2017Q3,23,"Part One",2026
2017Q3,315,"Part One",2130
2017Q3,10,"Part One",2435
2017Q3,77,"Part One",2215
2017Q3,27,"Part One",2141
2017Q3,152,"Part One",2109
2017Q3,107,"Part One",2111
2017Q3,169,"Part One",2124
2017Q3,29,"Part One",2222
2017Q3,12,"Part One",2107
2017Q3,36,"Part One",2284
2017Q3,74,"Part One",2114
2017Q3,75,"Part One",2136
2017Q3,16,"Part One",2152
2017Q3,39,"Part One",2113
2017Q3,25,"Part One",2186
2017Q3,25,"Part One",2203
2017Q3,60,"Part One",2108
2017Q3,23,"Part One",2128
2017Q3,25,"Part One",2445
2017Q3,47,"Part One",2210
2017Q3,10,"Part One",2205
2017Q3,12,"Part One",2171
2017Q3,2,"Part One",2446
2017Q3,1,"Part One",2133
2017Q3,1,"Part One",2145
2017Q4,107,"Part One",2135
2017Q4,54,"Part One",2132
2017Q4,259,"Part One",2130
2017Q4,79,"Part One",2117
2017Q4,89,"Part One",1125
2017Q4,289,"Part One",2118
2017Q4,104,"Part One",2115
2017Q4,30,"Part One",2222
2017Q4,196,"Part One",2122
2017Q4,52,"Part One",2215
2017Q4,161,"Part One",2119
2017Q4,67,"Part One",2136
2017Q4,136,"Part One",2127
2017Q4,65,"Part One",2150
2017Q4,38,"Part One",2210
2017Q4,159,"Part One",2125
2017Q4,307,"Part One",2121
2017Q4,132,"Part One",2109
2017Q4,146,"Part One",2131
2017Q4,99,"Part One",1210
2017Q4,89,"Part One",2120
2017Q4,139,"Part One",2134
2017Q4,175,"Part One",2116
2017Q4,78,"Part One",2129
2017Q4,104,"Part One",2111
2017Q4,141,"Part One",2110
2017Q4,43,"Part One",2137
2017Q4,31,"Part One",2113
2017Q4,34,"Part One",2445
2017Q4,1,"Part One",2133
2017Q4,33,"Part One",2128
2017Q4,199,"Part One",2126
2017Q4,46,"Part One",2114
2017Q4,159,"Part One",2124
2017Q4,225,"Part One",2199
2017Q4,18,"Part One",2186
2017Q4,17,"Part One",2141
2017Q4,16,"Part One",2107
2017Q4,25,"Part One",2201
2017Q4,19,"Part One",2203
2017Q4,29,"Part One",2284
2017Q4,9,"Part One",2152
2017Q4,12,"Part One",2026
2017Q4,9,"Part One",2171
2017Q4,36,"Part One",2108
2017Q4,2,"Part One",2151
2017Q4,5,"Part One",2435
2017Q4,2,"Part One",2145
2017Q4,1,"Part One",2446
2017Q4,3,"Part One",2205
2018Q1,62,"Part One",2215
2018Q1,137,"Part One",2110
2018Q1,134,"Part One",2122
2018Q1,62,"Part One",2129
2018Q1,162,"Part One",2119
2018Q1,279,"Part One",2121
2018Q1,77,"Part One",2117
2018Q1,9,"Part One",2435
2018Q1,32,"Part One",2128
2018Q1,34,"Part One",2222
2018Q1,87,"Part One",2109
2018Q1,117,"Part One",2127
2018Q1,94,"Part One",2135
2018Q1,17,"Part One",2203
2018Q1,106,"Part One",2115
2018Q1,53,"Part One",2132
2018Q1,2,"Part One",2446
2018Q1,50,"Part One",2136
2018Q1,255,"Part One",2118
2018Q1,81,"Part One",1125
2018Q1,118,"Part One",2134
2018Q1,41,"Part One",2210
2018Q1,11,"Part One",2107
2018Q1,73,"Part One",2120
2018Q1,47,"Part One",2137
2018Q1,93,"Part One",2150
2018Q1,101,"Part One",2124
2018Q1,154,"Part One",2116
2018Q1,105,"Part One",2125
2018Q1,12,"Part One",2171
2018Q1,85,"Part One",1210
2018Q1,111,"Part One",2131
2018Q1,22,"Part One",2201
2018Q1,29,"Part One",2108
2018Q1,227,"Part One",2130
2018Q1,33,"Part One",2284
2018Q1,144,"Part One",2126
2018Q1,173,"Part One",2199
2018Q1,78,"Part One",2111
2018Q1,35,"Part One",2113
2018Q1,18,"Part One",2445
2018Q1,20,"Part One",2186
2018Q1,44,"Part One",2114
2018Q1,2,"Part One",2205
2018Q1,13,"Part One",2152
2018Q1,9,"Part One",2026
2018Q1,5,"Part One",2151
2018Q1,15,"Part One",2141
2018Q1,3,"Part One",2133
2018Q1,1,"Part One",2145
2018Q2,106,"Part One",1210
2018Q2,274,"Part One",2130
2018Q2,196,"Part One",2127
2018Q2,158,"Part One",2115
2018Q2,68,"Part One",2129
2018Q2,196,"Part One",2126
2018Q2,169,"Part One",2124
2018Q2,304,"Part One",2121
2018Q2,128,"Part One",2110
2018Q2,15,"Part One",2152
2018Q2,87,"Part One",2215
2018Q2,38,"Part One",2113
2018Q2,211,"Part One",2122
2018Q2,7,"Part One",2151
2018Q2,40,"Part One",2132
2018Q2,128,"Part One",2125
2018Q2,12,"Part One",2141
2018Q2,166,"Part One",2199
2018Q2,22,"Part One",2186
2018Q2,346,"Part One",2118
2018Q2,90,"Part One",2150
2018Q2,105,"Part One",2131
2018Q2,155,"Part One",2116
2018Q2,219,"Part One",2119
2018Q2,111,"Part One",2134
2018Q2,96,"Part One",2135
2018Q2,20,"Part One",2026
2018Q2,75,"Part One",2117
2018Q2,48,"Part One",2137
2018Q2,58,"Part One",2136
2018Q2,113,"Part One",1125
2018Q2,118,"Part One",2109
2018Q2,22,"Part One",2203
2018Q2,23,"Part One",2201
2018Q2,33,"Part One",2210
2018Q2,22,"Part One",2222
2018Q2,85,"Part One",2120
2018Q2,96,"Part One",2111
2018Q2,43,"Part One",2108
2018Q2,7,"Part One",2435
2018Q2,45,"Part One",2114
2018Q2,18,"Part One",2445
2018Q2,9,"Part One",2107
2018Q2,30,"Part One",2284
2018Q2,38,"Part One",2128
2018Q2,20,"Part One",2171
2018Q2,5,"Part One",2205
2018Q2,3,"Part One",2145
2018Q2,1,"Part One",2133
2018Q2,2,"Part One",2446
2018Q3,190,"Part One",2127
2018Q3,33,"Part One",2201
2018Q3,114,"Part One",1210
2018Q3,143,"Part One",2110
