quarter,quarter_cnt,UCR_PART,Zip
2016Q3,85,"Non Part One",2284
2016Q3,126,"Non Part One",2117
2016Q3,208,"Non Part One",2108
2016Q3,62,"Non Part One",2171
2016Q3,18,"Non Part One",2205
2016Q3,12,"Non Part One",2446
2016Q3,70,"Non Part One",2152
2016Q3,43,"Non Part One",2107
2016Q3,118,"Non Part One",2445
2016Q3,56,"Non Part One",2201
2016Q3,33,"Non Part One",2151
2016Q3,1,"Non Part One",2133
2016Q4,45,"Non Part One",2171
2016Q4,1019,"Non Part One",2124
2016Q4,991,"Non Part One",2122
2016Q4,200,"Non Part One",2199
2016Q4,224,"Non Part One",1125
2016Q4,1067,"Non Part One",2126
2016Q4,1090,"Non Part One",2130
2016Q4,631,"Non Part One",2125
2016Q4,282,"Non Part One",2115
2016Q4,416,"Non Part One",2136
2016Q4,629,"Non Part One",2131
2016Q4,111,"Non Part One",2445
2016Q4,173,"Non Part One",2203
2016Q4,1203,"Non Part One",2118
2016Q4,1495,"Non Part One",2121
2016Q4,392,"Non Part One",2150
2016Q4,326,"Non Part One",2109
2016Q4,237,"Non Part One",2137
2016Q4,353,"Non Part One",2132
2016Q4,122,"Non Part One",2117
2016Q4,1021,"Non Part One",2119
2016Q4,582,"Non Part One",1210
2016Q4,493,"Non Part One",2135
2016Q4,297,"Non Part One",2129
2016Q4,692,"Non Part One",2127
2016Q4,98,"Non Part One",2186
2016Q4,435,"Non Part One",2134
2016Q4,54,"Non Part One",2435
2016Q4,197,"Non Part One",2215
2016Q4,434,"Non Part One",2111
2016Q4,28,"Non Part One",2151
2016Q4,409,"Non Part One",2116
2016Q4,170,"Non Part One",2114
2016Q4,234,"Non Part One",2110
2016Q4,500,"Non Part One",2120
2016Q4,74,"Non Part One",2152
2016Q4,49,"Non Part One",2141
2016Q4,89,"Non Part One",2026
2016Q4,100,"Non Part One",2284
2016Q4,189,"Non Part One",2108
2016Q4,74,"Non Part One",2201
2016Q4,132,"Non Part One",2222
2016Q4,179,"Non Part One",2128
2016Q4,96,"Non Part One",2113
2016Q4,5,"Non Part One",2145
2016Q4,144,"Non Part One",2210
2016Q4,3,"Non Part One",2133
2016Q4,27,"Non Part One",2205
2016Q4,48,"Non Part One",2107
2016Q4,9,"Non Part One",2446
2017Q1,26,"Non Part One",2151
2017Q1,476,"Non Part One",2136
2017Q1,391,"Non Part One",2116
2017Q1,309,"Non Part One",2111
2017Q1,1065,"Non Part One",2122
2017Q1,1431,"Non Part One",2121
2017Q1,1085,"Non Part One",2130
2017Q1,1233,"Non Part One",2118
2017Q1,298,"Non Part One",2129
2017Q1,685,"Non Part One",2127
2017Q1,1085,"Non Part One",2119
2017Q1,363,"Non Part One",2109
2017Q1,92,"Non Part One",2284
2017Q1,1033,"Non Part One",2124
2017Q1,421,"Non Part One",2134
2017Q1,672,"Non Part One",2131
2017Q1,267,"Non Part One",2115
2017Q1,1099,"Non Part One",2126
2017Q1,596,"Non Part One",2125
2017Q1,365,"Non Part One",2132
2017Q1,156,"Non Part One",2108
2017Q1,490,"Non Part One",2135
2017Q1,250,"Non Part One",2137
2017Q1,594,"Non Part One",1210
2017Q1,508,"Non Part One",2120
2017Q1,73,"Non Part One",2026
2017Q1,218,"Non Part One",1125
2017Q1,88,"Non Part One",2113
2017Q1,235,"Non Part One",2110
2017Q1,207,"Non Part One",2199
2017Q1,115,"Non Part One",2210
2017Q1,205,"Non Part One",2203
2017Q1,134,"Non Part One",2445
2017Q1,50,"Non Part One",2171
2017Q1,97,"Non Part One",2186
2017Q1,165,"Non Part One",2114
2017Q1,62,"Non Part One",2201
2017Q1,365,"Non Part One",2150
2017Q1,86,"Non Part One",2117
2017Q1,172,"Non Part One",2128
2017Q1,71,"Non Part One",2435
2017Q1,148,"Non Part One",2222
2017Q1,176,"Non Part One",2215
2017Q1,50,"Non Part One",2107
2017Q1,83,"Non Part One",2152
2017Q1,50,"Non Part One",2141
2017Q1,10,"Non Part One",2145
2017Q1,35,"Non Part One",2205
2017Q1,8,"Non Part One",2446
2017Q1,1,"Non Part One",2133
2017Q2,302,"Non Part One",2110
2017Q2,1733,"Non Part One",2121
2017Q2,616,"Non Part One",2135
2017Q2,1163,"Non Part One",2119
2017Q2,486,"Non Part One",2136
2017Q2,763,"Non Part One",2131
2017Q2,143,"Non Part One",2113
2017Q2,1198,"Non Part One",2130
2017Q2,1158,"Non Part One",2122
2017Q2,398,"Non Part One",2109
2017Q2,1230,"Non Part One",2118
2017Q2,359,"Non Part One",2111
2017Q2,801,"Non Part One",2127
2017Q2,539,"Non Part One",1210
2017Q2,115,"Non Part One",2117
2017Q2,385,"Non Part One",2129
2017Q2,509,"Non Part One",2120
2017Q2,423,"Non Part One",2116
2017Q2,68,"Non Part One",2435
2017Q2,206,"Non Part One",2199
2017Q2,255,"Non Part One",2215
2017Q2,245,"Non Part One",2137
2017Q2,332,"Non Part One",2115
2017Q2,1139,"Non Part One",2126
2017Q2,1060,"Non Part One",2124
