zipcode,year,UCR_PART,crime_rate
02124,2016,Other,0.0004
02124,2016,"Part One",0.0117
02124,2016,"Part Three",0.0454
02124,2016,"Part Two",0.0258
02124,2017,Other,0.0003
02124,2017,"Part One",0.0116
02124,2017,"Part Three",0.0475
02124,2017,"Part Two",0.0257
02124,2018,Other,0.0001
02124,2018,"Part One",0.0075
02124,2018,"Part Three",0.0338
02124,2018,"Part Two",0.0209
02125,2015,Other,0.0001
02125,2015,"Part One",0.0085
02125,2015,"Part Three",0.0203
02125,2015,"Part Two",0.0134
02125,2016,Other,0.0005
02125,2016,"Part One",0.0172
02125,2016,"Part Three",0.0416
02125,2016,"Part Two",0.0251
02125,2017,Other,0.0004
02125,2017,"Part One",0.0147
02125,2017,"Part Three",0.0419
02125,2017,"Part Two",0.0209
02125,2018,Other,0.0004
02125,2018,"Part One",0.0107
02125,2018,"Part Three",0.0314
02125,2018,"Part Two",0.0153
02126,2015,Other,0.0007
02126,2015,"Part One",0.0163
02126,2015,"Part Three",0.0384
02126,2015,"Part Two",0.0265
02126,2016,Other,0.0011
02126,2016,"Part One",0.0259
02126,2016,"Part Three",0.0863
02126,2016,"Part Two",0.0468
02126,2017,Other,0.0008
02126,2017,"Part One",0.0247
02126,2017,"Part Three",0.0946
02126,2017,"Part Two",0.0478
02126,2018,Other,0.0009
02126,2018,"Part One",0.0178
02126,2018,"Part Three",0.0729
02126,2018,"Part Two",0.0387
02127,2015,Other,0.0001
02127,2015,"Part One",0.0180
02127,2015,"Part Three",0.0354
02127,2015,"Part Two",0.0271
02127,2016,Other,0.0006
02127,2016,"Part One",0.0234
02127,2016,"Part Three",0.0715
02127,2016,"Part Two",0.0460
02127,2017,Other,0.0005
02127,2017,"Part One",0.0245
02127,2017,"Part Three",0.0782
02127,2017,"Part Two",0.0369
02127,2018,Other,0.0005
02127,2018,"Part One",0.0208
02127,2018,"Part Three",0.0555
02127,2018,"Part Two",0.0293
02128,2015,"Part One",0.0021
02128,2015,"Part Three",0.0053
02128,2015,"Part Two",0.0028
02128,2016,Other,0.0001
02128,2016,"Part One",0.0024
02128,2016,"Part Three",0.0089
02128,2016,"Part Two",0.0045
02128,2017,Other,0.0000
02128,2017,"Part One",0.0023
02128,2017,"Part Three",0.0103
02128,2017,"Part Two",0.0039
02128,2018,Other,0.0000
02128,2018,"Part One",0.0022
02128,2018,"Part Three",0.0071
02128,2018,"Part Two",0.0031
02129,2015,Other,0.0002
02129,2015,"Part One",0.0099
02129,2015,"Part Three",0.0217
02129,2015,"Part Two",0.0141
02129,2016,Other,0.0002
02129,2016,"Part One",0.0149
02129,2016,"Part Three",0.0431
02129,2016,"Part Two",0.0217
02129,2017,Other,0.0004
02129,2017,"Part One",0.0172
02129,2017,"Part Three",0.0493
02129,2017,"Part Two",0.0234
02129,2018,Other,0.0003
02129,2018,"Part One",0.0102
02129,2018,"Part Three",0.0345
02129,2018,"Part Two",0.0176
02130,2015,Other,0.0001
02130,2015,"Part One",0.0186
02130,2015,"Part Three",0.0307
02130,2015,"Part Two",0.0209
02130,2016,Other,0.0004
02130,2016,"Part One",0.0330
02130,2016,"Part Three",0.0658
02130,2016,"Part Two",0.0380
02130,2017,Other,0.0006
02130,2017,"Part One",0.0247
02130,2017,"Part Three",0.0718
02130,2017,"Part Two",0.0357
02130,2018,Other,0.0003
02130,2018,"Part One",0.0181
02130,2018,"Part Three",0.0547
02130,2018,"Part Two",0.0264
02131,2015,Other,0.0001
02131,2015,"Part One",0.0103
02131,2015,"Part Three",0.0238
02131,2015,"Part Two",0.0151
02131,2016,Other,0.0004
02131,2016,"Part One",0.0155
02131,2016,"Part Three",0.0498
02131,2016,"Part Two",0.0286
02131,2017,Other,0.0002
02131,2017,"Part One",0.0164
02131,2017,"Part Three",0.0577
02131,2017,"Part Two",0.0269
02131,2018,Other,0.0000
02131,2018,"Part One",0.0103
02131,2018,"Part Three",0.0460
02131,2018,"Part Two",0.0187
02132,2015,Other,0.0001
02132,2015,"Part One",0.0061
02132,2015,"Part Three",0.0164
02132,2015,"Part Two",0.0093
02132,2016,Other,0.0001
02132,2016,"Part One",0.0073
02132,2016,"Part Three",0.0325
02132,2016,"Part Two",0.0196
02132,2017,Other,0.0001
02132,2017,"Part One",0.0080
02132,2017,"Part Three",0.0344
02132,2017,"Part Two",0.0141
02132,2018,Other,0.0001
02132,2018,"Part One",0.0046
02132,2018,"Part Three",0.0248
02132,2018,"Part Two",0.0113
02134,2015,Other,0.0002
02134,2015,"Part One",0.0217
02134,2015,"Part Three",0.0309
02134,2015,"Part Two",0.0190
02134,2016,Other,0.0005
02134,2016,"Part One",0.0331
02134,2016,"Part Three",0.0617
02134,2016,"Part Two",0.0329
02134,2017,Other,0.0008
02134,2017,"Part One",0.0306
02134,2017,"Part Three",0.0652
02134,2017,"Part Two",0.0348
02134,2018,Other,0.0002
02134,2018,"Part One",0.0193
02134,2018,"Part Three",0.0478
02134,2018,"Part Two",0.0215
02135,2015,Other,0.0001
02135,2015,"Part One",0.0075
02135,2015,"Part Three",0.0172
02135,2015,"Part Two",0.0088
02135,2016,Other,0.0001
02135,2016,"Part One",0.0119
02135,2016,"Part Three",0.0335
02135,2016,"Part Two",0.0148
